year,scenario,rank_correlation_exposed,top20_overlap_exposed,national_total_ratio
2015,Infant-share,0.9862526397802063,19,1.0
2015,50:50 blended,0.9961590770849992,20,1.0
2016,Infant-share,0.9866610222725969,19,1.0
2016,50:50 blended,0.9967280722118286,20,1.0
2017,Infant-share,0.9839333631484796,19,1.0000000000000002
2017,50:50 blended,0.99475626118068,19,1.0000000000000002
2018,Infant-share,0.9853200234879624,19,1.0
2018,50:50 blended,0.9955586398334489,19,1.0
2019,Infant-share,0.9842441925709798,20,1.0
2019,50:50 blended,0.9944188830284667,20,1.0
2020,Infant-share,0.9890365448504983,19,1.0
2020,50:50 blended,0.9960523744381472,19,1.0
2021,Infant-share,0.9915522106179778,19,0.9999999999999998
2021,50:50 blended,0.9972179970709807,20,1.0
2022,Infant-share,0.9878187849885962,18,1.0
2022,50:50 blended,0.9960605432303545,19,0.9999999999999998
2023,Infant-share,0.9843923990712982,18,1.0
2023,50:50 blended,0.9959515812726821,19,1.0
2024,Infant-share,0.9877795185870959,19,0.9999999999999998
2024,50:50 blended,0.996432132174904,20,1.0
2025,Infant-share,0.9866499092305545,20,1.0
2025,50:50 blended,0.9959749295612674,20,1.0
